Kachelname,filename,url,Koordinatenursprung_East,Koordinatenursprung_North
dop10rgbi_32_348_5644_1_nw_2025,dop10rgbi_32_348_5644_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_348_5644_1_nw_2025/dop10rgbi_32_348_5644_1_nw_2025.jp2,348000,5644000
dop10rgbi_32_354_5643_1_nw_2025,dop10rgbi_32_354_5643_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_354_5643_1_nw_2025/dop10rgbi_32_354_5643_1_nw_2025.jp2,354000,5643000
dop10rgbi_32_359_5642_1_nw_2025,dop10rgbi_32_359_5642_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_359_5642_1_nw_2025/dop10rgbi_32_359_5642_1_nw_2025.jp2,359000,5642000
dop10rgbi_32_360_5642_1_nw_2025,dop10rgbi_32_360_5642_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_360_5642_1_nw_2025/dop10rgbi_32_360_5642_1_nw_2025.jp2,360000,5642000
dop10rgbi_32_365_5641_1_nw_2025,dop10rgbi_32_365_5641_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_365_5641_1_nw_2025/dop10rgbi_32_365_5641_1_nw_2025.jp2,365000,5641000
dop10rgbi_32_353_5661_1_nw_2023,dop10rgbi_32_353_5661_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_353_5661_1_nw_2023/dop10rgbi_32_353_5661_1_nw_2023.jp2,353000,5661000
dop10rgbi_32_358_5659_1_nw_2023,dop10rgbi_32_358_5659_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_358_5659_1_nw_2023/dop10rgbi_32_358_5659_1_nw_2023.jp2,358000,5659000
dop10rgbi_32_358_5660_1_nw_2023,dop10rgbi_32_358_5660_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_358_5660_1_nw_2023/dop10rgbi_32_358_5660_1_nw_2023.jp2,358000,5660000
dop10rgbi_32_364_5658_1_nw_2023,dop10rgbi_32_364_5658_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_364_5658_1_nw_2023/dop10rgbi_32_364_5658_1_nw_2023.jp2,364000,5658000
dop10rgbi_32_369_5657_1_nw_2023,dop10rgbi_32_369_5657_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_369_5657_1_nw_2023/dop10rgbi_32_369_5657_1_nw_2023.jp2,369000,5657000
dop10rgbi_32_349_5634_1_nw_2025,dop10rgbi_32_349_5634_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_349_5634_1_nw_2025/dop10rgbi_32_349_5634_1_nw_2025.jp2,349000,5634000
dop10rgbi_32_350_5634_1_nw_2025,dop10rgbi_32_350_5634_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_350_5634_1_nw_2025/dop10rgbi_32_350_5634_1_nw_2025.jp2,350000,5634000
dop10rgbi_32_355_5633_1_nw_2025,dop10rgbi_32_355_5633_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_355_5633_1_nw_2025/dop10rgbi_32_355_5633_1_nw_2025.jp2,355000,5633000
dop10rgbi_32_348_5652_1_nw_2025,dop10rgbi_32_348_5652_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_348_5652_1_nw_2025/dop10rgbi_32_348_5652_1_nw_2025.jp2,348000,5652000
